lon,lat,severity,wl_within_1km,ratio_vs_uniform
77.596812,13.096933,78,21,11.69
77.587829,12.965656,123,16,8.91
77.67766,12.838689,70,12,6.68
77.53393,12.939392,82,11,6.12
77.59232,13.057557,84,11,6.12
77.529438,12.94377,73,11,6.12
77.520455,13.040055,138,8,4.45
77.538421,13.031303,72,8,4.45
77.50698,13.044431,128,6,3.34
77.511472,13.044431,111,6,3.34
77.59232,13.066308,81,5,2.78
77.520455,12.956902,77,4,2.23
77.542913,12.952524,113,3,1.67
77.538421,12.952524,69,3,1.67
77.53393,13.031303,109,2,1.11
77.453081,13.066308,114,1,0.56
77.462065,13.061933,93,1,0.56
77.569862,12.895613,68,1,0.56
77.560879,12.921881,71,1,0.56
77.776475,12.777371,107,0,0.0
77.59232,13.079433,85,0,0.0
77.435115,13.075058,102,0,0.0
77.691135,12.816791,99,0,0.0
77.444098,13.070683,108,0,0.0
77.475539,13.057557,79,0,0.0
77.740542,12.786132,76,0,0.0
77.493506,13.048806,75,0,0.0
77.771983,12.777371,81,0,0.0
77.565371,13.158172,68,0,0.0
77.682152,12.82993,102,0,0.0
77.785458,13.070683,94,0,0.0
77.700118,13.22814,74,0,0.0
77.664186,12.856205,75,0,0.0
77.749526,13.044431,109,0,0.0
77.42164,13.079433,89,0,0.0
77.417149,13.083808,83,0,0.0
77.484523,13.053182,69,0,0.0
77.686643,12.821171,87,0,0.0
77.462065,12.991917,99,0,0.0
77.70461,12.803652,93,0,0.0
77.471048,13.057557,82,0,0.0
77.754017,13.048806,82,0,0.0
77.709101,12.803652,84,0,0.0
77.682152,12.825551,65,0,0.0
77.780967,13.070683,65,0,0.0
77.489014,13.053182,75,0,0.0
77.794441,13.075058,85,0,0.0
77.529438,12.856205,87,0,0.0
77.466556,13.057557,86,0,0.0
77.722576,13.026927,79,0,0.0
