city,year,annual_mm,jjas_mm,ond_mm,rainy_days,heavy_days,very_heavy_days,extremely_heavy_days,max_1day_mm,days_reported
ahmedabad,1901,468.4,453.5,3.8,27,1,0,0,68.3,365
ahmedabad,1902,742.7,729.2,3.5,31,3,2,0,136.7,365
ahmedabad,1903,656.4,648.1,1.5,32,3,0,0,75.3,365
ahmedabad,1904,248.5,221.8,0.0,17,0,0,0,48.8,366
ahmedabad,1905,1058.9,1056.4,1.1,18,3,2,2,348.2,365
ahmedabad,1906,915.4,902.3,4.7,38,3,2,0,196.7,365
ahmedabad,1907,860.6,851.7,0.0,38,4,1,0,121.3,365
ahmedabad,1908,827.4,825.0,0.0,52,0,0,0,49.0,366
ahmedabad,1909,772.2,766.6,1.2,50,1,0,0,74.5,365
ahmedabad,1910,635.0,618.7,15.1,40,1,0,0,77.4,365
ahmedabad,1911,257.0,241.6,0.1,18,0,0,0,42.0,365
ahmedabad,1912,975.8,963.8,6.4,46,3,1,0,158.0,366
ahmedabad,1913,893.9,888.4,0.0,50,2,0,0,90.2,365
ahmedabad,1914,1022.1,986.8,9.8,48,2,1,0,168.3,365
ahmedabad,1915,301.2,239.8,52.0,20,0,0,0,62.4,365
ahmedabad,1916,654.1,624.3,28.4,41,1,0,0,75.0,366
ahmedabad,1917,1297.4,980.8,191.3,62,3,1,0,131.3,365
ahmedabad,1918,204.6,179.3,0.0,15,0,0,0,43.4,365
ahmedabad,1919,742.0,686.9,38.1,47,1,0,0,75.2,365
ahmedabad,1920,612.5,512.5,0.0,33,2,0,0,92.5,366
ahmedabad,1921,1018.6,1018.6,0.0,44,3,1,0,136.4,365
ahmedabad,1922,895.3,895.3,0.0,41,4,1,0,152.9,365
ahmedabad,1923,362.0,344.1,2.6,27,0,0,0,48.9,365
ahmedabad,1924,658.7,620.4,3.1,35,1,1,0,116.1,366
ahmedabad,1925,604.9,577.6,15.6,35,1,1,0,197.7,365
ahmedabad,1926,1268.4,1247.9,0.0,61,3,1,0,183.3,365
ahmedabad,1927,1945.9,1913.9,29.8,51,7,5,2,384.3,365
ahmedabad,1928,840.6,797.2,43.4,43,0,0,0,56.2,366
ahmedabad,1929,622.6,600.1,6.0,42,1,0,0,65.7,365
ahmedabad,1930,708.7,697.3,8.8,46,2,0,0,90.0,365
ahmedabad,1931,801.3,753.9,46.1,43,1,0,0,103.3,365
ahmedabad,1932,771.8,761.3,10.5,37,2,0,0,105.9,366
ahmedabad,1933,1118.9,1064.5,5.4,45,4,1,0,144.9,365
ahmedabad,1934,732.0,731.1,0.9,41,2,0,0,110.1,365
ahmedabad,1935,565.2,536.3,19.4,39,0,0,0,48.0,365
ahmedabad,1936,518.4,491.9,23.3,32,1,0,0,83.9,366
ahmedabad,1937,1092.9,1089.1,0.7,41,3,1,0,141.2,365
ahmedabad,1938,512.4,481.2,5.6,33,0,0,0,64.0,365
ahmedabad,1939,500.7,494.8,0.0,25,1,1,0,135.4,365
ahmedabad,1940,472.9,432.8,20.0,38,1,0,0,70.9,366
ahmedabad,1941,1132.5,1128.4,0.0,28,5,2,1,294.8,365
ahmedabad,1942,1109.8,1082.5,0.0,37,5,0,0,114.6,365
ahmedabad,1943,877.7,806.9,49.6,45,1,0,0,69.7,365
ahmedabad,1944,997.2,987.7,0.0,53,1,0,0,89.1,366
ahmedabad,1945,869.3,860.3,0.0,41,2,0,0,103.7,365
ahmedabad,1946,700.0,671.5,25.9,47,1,0,0,75.2,365
ahmedabad,1947,668.0,585.4,54.8,37,1,0,0,78.6,365
ahmedabad,1948,287.7,207.0,31.5,23,0,0,0,33.3,366
ahmedabad,1949,590.3,578.6,11.7,31,1,0,0,110.3,365
ahmedabad,1950,1139.9,1139.9,0.0,40,3,2,1,217.7,365
ahmedabad,1951,397.7,389.4,8.3,22,1,0,0,70.0,365
ahmedabad,1952,636.5,636.5,0.0,29,1,1,0,140.9,366
ahmedabad,1953,980.2,961.3,0.0,44,3,0,0,101.6,365
ahmedabad,1954,948.3,937.8,4.4,38,4,0,0,103.1,365
ahmedabad,1955,774.5,750.5,24.0,44,1,0,0,70.0,365
ahmedabad,1956,1159.6,1083.3,71.1,52,5,0,0,111.6,366
ahmedabad,1957,404.5,365.0,30.0,32,0,0,0,48.6,365
